"","class","order","batch"
"1","QC","1","1"
"2","TG","2","1"
"3","TG","3","1"
"4","TG","4","1"
"5","CG","5","1"
"6","TG","6","1"
"7","QC","7","1"
"8","CG","8","1"
"9","TG","9","1"
"10","TG","10","1"
"11","CG","11","1"
"12","TG","12","1"
"13","QC","13","1"
"14","TG","14","1"
"15","TG","15","1"
"16","TG","16","1"
"17","CG","17","1"
"18","TG","18","1"
"19","QC","19","1"
"20","CG","20","1"
"21","TG","21","1"
"22","TG","22","1"
"23","CG","23","1"
"24","TG","24","1"
"25","QC","25","1"
"26","QC","26","2"
"27","CG","27","2"
"28","TG","28","2"
"29","CG","29","2"
"30","CG","30","2"
"31","TG","31","2"
"32","QC","32","2"
"33","TG","33","2"
"34","TG","34","2"
"35","CG","35","2"
"36","CG","36","2"
"37","CG","37","2"
"38","QC","38","2"
"39","CG","39","2"
"40","TG","40","2"
"41","CG","41","2"
"42","CG","42","2"
"43","TG","43","2"
"44","QC","44","2"
"45","TG","45","2"
"46","TG","46","2"
"47","CG","47","2"
"48","CG","48","2"
"49","CG","49","2"
"50","QC","50","2"
"51","QC","51","3"
"52","CG","52","3"
"53","TG","53","3"
"54","CG","54","3"
"55","TG","55","3"
"56","CG","56","3"
"57","QC","57","3"
"58","TG","58","3"
"59","CG","59","3"
"60","TG","60","3"
"61","CG","61","3"
"62","TG","62","3"
"63","QC","63","3"
"64","CG","64","3"
"65","TG","65","3"
"66","CG","66","3"
"67","TG","67","3"
"68","CG","68","3"
"69","QC","69","3"
"70","TG","70","3"
"71","CG","71","3"
"72","TG","72","3"
"73","CG","73","3"
"74","TG","74","3"
"75","QC","75","3"
"76","QC","76","4"
"77","TG","77","4"
"78","TG","78","4"
"79","CG","79","4"
"80","TG","80","4"
"81","TG","81","4"
"82","QC","82","4"
"83","CG","83","4"
"84","CG","84","4"
"85","TG","85","4"
"86","TG","86","4"
"87","TG","87","4"
"88","QC","88","4"
"89","TG","89","4"
"90","TG","90","4"
"91","CG","91","4"
"92","TG","92","4"
"93","TG","93","4"
"94","QC","94","4"
"95","CG","95","4"
"96","CG","96","4"
"97","TG","97","4"
"98","TG","98","4"
"99","TG","99","4"
"100","QC","100","4"
"101","QC","101","5"
"102","CG","102","5"
"103","CG","103","5"
"104","TG","104","5"
"105","TG","105","5"
"106","CG","106","5"
"107","QC","107","5"
"108","CG","108","5"
"109","TG","109","5"
"110","CG","110","5"
"111","TG","111","5"
"112","CG","112","5"
"113","QC","113","5"
"114","CG","114","5"
"115","CG","115","5"
"116","TG","116","5"
"117","TG","117","5"
"118","CG","118","5"
"119","QC","119","5"
"120","CG","120","5"
"121","TG","121","5"
"122","CG","122","5"
"123","TG","123","5"
"124","CG","124","5"
"125","QC","125","5"
"126","QC","126","6"
"127","CG","127","6"
"128","CG","128","6"
"129","TG","129","6"
"130","TG","130","6"
"131","CG","131","6"
"132","QC","132","6"
"133","TG","133","6"
"134","TG","134","6"
"135","TG","135","6"
"136","CG","136","6"
"137","CG","137","6"
"138","QC","138","6"
"139","CG","139","6"
"140","CG","140","6"
"141","TG","141","6"
"142","TG","142","6"
"143","CG","143","6"
"144","QC","144","6"
"145","TG","145","6"
"146","TG","146","6"
"147","TG","147","6"
"148","CG","148","6"
"149","CG","149","6"
"150","QC","150","6"
"151","QC","151","7"
"152","CG","152","7"
"153","TG","153","7"
"154","CG","154","7"
"155","TG","155","7"
"156","CG","156","7"
"157","QC","157","7"
"158","TG","158","7"
"159","CG","159","7"
"160","TG","160","7"
"161","CG","161","7"
"162","CG","162","7"
"163","QC","163","7"
"164","CG","164","7"
"165","TG","165","7"
"166","CG","166","7"
"167","TG","167","7"
"168","CG","168","7"
"169","QC","169","7"
"170","TG","170","7"
"171","CG","171","7"
"172","TG","172","7"
"173","CG","173","7"
"174","CG","174","7"
"175","QC","175","7"
"176","QC","176","8"
"177","CG","177","8"
"178","TG","178","8"
"179","CG","179","8"
"180","CG","180","8"
"181","TG","181","8"
"182","QC","182","8"
"183","TG","183","8"
"184","CG","184","8"
"185","CG","185","8"
"186","CG","186","8"
"187","CG","187","8"
"188","QC","188","8"
"189","CG","189","8"
"190","TG","190","8"
"191","CG","191","8"
"192","CG","192","8"
"193","TG","193","8"
"194","QC","194","8"
"195","TG","195","8"
"196","CG","196","8"
"197","CG","197","8"
"198","CG","198","8"
"199","CG","199","8"
"200","QC","200","8"
"201","QC","201","9"
"202","CG","202","9"
"203","CG","203","9"
"204","TG","204","9"
"205","CG","205","9"
"206","CG","206","9"
"207","QC","207","9"
"208","CG","208","9"
"209","TG","209","9"
"210","CG","210","9"
"211","TG","211","9"
"212","CG","212","9"
"213","QC","213","9"
"214","CG","214","9"
"215","CG","215","9"
"216","TG","216","9"
"217","CG","217","9"
"218","CG","218","9"
"219","QC","219","9"
"220","CG","220","9"
"221","TG","221","9"
"222","CG","222","9"
"223","TG","223","9"
"224","CG","224","9"
"225","QC","225","9"
"226","QC","226","10"
"227","CG","227","10"
"228","TG","228","10"
"229","CG","229","10"
"230","CG","230","10"
"231","CG","231","10"
"232","QC","232","10"
"233","CG","233","10"
"234","TG","234","10"
"235","TG","235","10"
"236","TG","236","10"
"237","TG","237","10"
"238","QC","238","10"
"239","CG","239","10"
"240","TG","240","10"
"241","CG","241","10"
"242","CG","242","10"
"243","CG","243","10"
"244","QC","244","10"
"245","CG","245","10"
"246","TG","246","10"
"247","TG","247","10"
"248","TG","248","10"
"249","TG","249","10"
"250","QC","250","10"
"251","QC","251","11"
"252","TG","252","11"
"253","TG","253","11"
"254","TG","254","11"
"255","TG","255","11"
"256","CG","256","11"
"257","QC","257","11"
"258","TG","258","11"
"259","TG","259","11"
"260","TG","260","11"
"261","CG","261","11"
"262","TG","262","11"
"263","QC","263","11"
"264","TG","264","11"
"265","TG","265","11"
"266","TG","266","11"
"267","TG","267","11"
"268","CG","268","11"
"269","QC","269","11"
"270","TG","270","11"
"271","TG","271","11"
"272","TG","272","11"
"273","CG","273","11"
"274","TG","274","11"
"275","QC","275","11"
"276","QC","276","12"
"277","TG","277","12"
"278","CG","278","12"
"279","TG","279","12"
"280","TG","280","12"
"281","TG","281","12"
"282","QC","282","12"
"283","CG","283","12"
"284","CG","284","12"
"285","TG","285","12"
"286","TG","286","12"
"287","CG","287","12"
"288","QC","288","12"
"289","TG","289","12"
"290","CG","290","12"
"291","TG","291","12"
"292","TG","292","12"
"293","TG","293","12"
"294","QC","294","12"
"295","CG","295","12"
"296","CG","296","12"
"297","TG","297","12"
"298","TG","298","12"
"299","CG","299","12"
"300","QC","300","12"
"301","QC","301","13"
"302","TG","302","13"
"303","TG","303","13"
"304","TG","304","13"
"305","CG","305","13"
"306","QC","306","13"
"307","TG","307","13"
"308","TG","308","13"
"309","TG","309","13"
"310","CG","310","13"
"311","QC","311","13"
